key,count,percent_of_total_changes
species:wikipedia,169,0.0004
Geometry source name,168,0.0004
Route,167,0.0004
fixme:tourism,167,0.0004
photo_name,166,0.0004
goods,165,0.0004
name:la,165,0.0004
building_metal,164,0.0004
number_storey,164,0.0004
livestock:poultry,163,0.0004
paved,163,0.0004
payment:bancomat,162,0.0004
store,162,0.0004
adboard,161,0.0004
cycleway:both:lane,161,0.0004
name:etymology,161,0.0004
survey:year,161,0.0004
locked,160,0.0004
source 2,160,0.0004
source:is_in,160,0.0004
name:rgn,159,0.0004
source:addr,158,0.0004
surveillance:zone,158,0.0004
toilets:wheelchair,158,0.0004
IOM_project_DRR:form_number,157,0.0004
addr:postal_code,157,0.0004
indoor:highway,157,0.0004
check_date:crossing,156,0.0004
protect_class,155,0.0004
social_facility:for,155,0.0004
agricultural,154,0.0004
camp_site,153,0.0004
name:sr,153,0.0004
kll_oid,152,0.0004
well,152,0.0004
livestock:cow_ox,151,0.0004
radius,151,0.0004
FIXME:HT,150,0.0004
name:eo,150,0.0004
school:fondamental_first_cycle,150,0.0004
whc:criteria,149,0.0004
departement,148,0.0004
ims:id,148,0.0004
brewery,147,0.0004
switch,147,0.0004
drying_system,146,0.0004
firing,146,0.0004
fuel,146,0.0004
moulding_process,146,0.0004
shower_good,146,0.0004
Household Code Info By,145,0.0004
camp_type,145,0.0004
historic:civilization,145,0.0004
ims:media_type,145,0.0004
paho:damage:date,145,0.0004
paho:damage:source,145,0.0004
family_head,144,0.0004
local_ref,144,0.0004
oneway:moped,144,0.0004
url,144,0.0004
hfac_current_bed_use,143,0.0004
occupant,143,0.0004
plant,143,0.0004
occupant:male,142,0.0004
source:building,142,0.0004
source:population,142,0.0004
Geometrie_source_type,141,0.0004
occupant:female,141,0.0004
one:maxspeed,141,0.0004
well_open,141,0.0004
attraction,140,0.0004
compressed_air,139,0.0004
internet_access:ssid,139,0.0004
op_status,139,0.0004
count_building,138,0.0004
name:ca,138,0.0004
name:fa,138,0.0004
handwashing_station_good,137,0.0004
language:it,137,0.0004
name:he,137,0.0004
Zone,136,0.0004
market,136,0.0004
name:ur,136,0.0004
paho:damage,136,0.0004
addr:province,135,0.0003
building_base_material:reinforced_concrete,135,0.0003
buried:wikidata,135,0.0003
gnis:edited,135,0.0003
is_in:arrondissement,135,0.0003
min_age,135,0.0003
quantity,135,0.0003
roller_coaster,135,0.0003
operator:short,134,0.0003
orig:location,134,0.0003
landownership,133,0.0003
canal_roof_others,132,0.0003
soure,132,0.0003
Attribution,131,0.0003
capacity_area,131,0.0003
project:unicef_acted_mrr_basartibonite_centre,131,0.0003
tower:construction,131,0.0003
chimney_count,130,0.0003
currency:XBT,130,0.0003
destination:symbol,130,0.0003
motor_vehicle:conditional,130,0.0003
trees,130,0.0003
brick_kind,129,0.0003
check_date:tactile_paving,129,0.0003
conveying,129,0.0003
toilet_medium,129,0.0003
mtb:scale:imba,128,0.0003
cafeteria,127,0.0003
source:surface,127,0.0003
brick:material,126,0.0003
livestock:goat,126,0.0003
repair,126,0.0003
school:fondamental_second_cycle,126,0.0003
school:type_idn,126,0.0003
language:en,125,0.0003
max_age,125,0.0003
bridge:name,124,0.0003
crossing:barrier,124,0.0003
nb_source,123,0.0003
occupant:20-59yr,123,0.0003
reg_ref,123,0.0003
toll:hov,123,0.0003
cycleway:width,122,0.0003
lanes:psv:forward,122,0.0003
opening_hours:covid19,122,0.0003
right:country,122,0.0003
transformer,122,0.0003
contact:fax,121,0.0003
idp:status_20150511,121,0.0003
operating_season,121,0.0003
wood,121,0.0003
bladder,120,0.0003
indoor:level,120,0.0003
inscription,120,0.0003
second_hand,120,0.0003
content:source,119,0.0003
destroyed:amenity,119,0.0003
disused:shop,119,0.0003
handwashing_station_bad,119,0.0003
idp:source_20150511,119,0.0003
is_in:county,119,0.0003
operational,119,0.0003
circumference,118,0.0003
hazard_type,118,0.0003
motorroad:type,118,0.0003
category,117,0.0003
is_in:town,117,0.0003
istat_id,117,0.0003
military,117,0.0003
old_name:la,117,0.0003
orientation,117,0.0003
production_amount,117,0.0003
tiger:zip_left_3,117,0.0003
disused:boundary,116,0.0003
firesideint:schooltag,116,0.0003
handwashing_station_medium,116,0.0003
left:country,116,0.0003
src:id,116,0.0003
TEPAC,115,0.0003
key,115,0.0003
plant_community:it,115,0.0003
ref:GB:uprn,115,0.0003
Attribute source name,114,0.0003
building_floodable,114,0.0003
building_good,114,0.0003
dog,114,0.0003
security,114,0.0003
bicycle_road,113,0.0003
is_in:continent,113,0.0003
parking:lane:both,113,0.0003
phoneemergency,113,0.0003
school:FR,113,0.0003
shower_medium,113,0.0003
type de structure,113,0.0003
school:trust,112,0.0003
school:type,112,0.0003
sign,112,0.0003
class:bicycle:mtb,111,0.0003
ims:frequency,111,0.0003
street_cabinet,111,0.0003
traffic_sign:direction,111,0.0003
capital:Department,110,0.0003
diplomatic,110,0.0003
garden:type,110,0.0003
name:pt,110,0.0003
shower_bad,110,0.0003
surveyor:email,110,0.0003
awareness:red_cross,109,0.0003
building_status_good,109,0.0003
cycleway:left:oneway,109,0.0003
payment:satispay,109,0.0003
recycling:clothes,109,0.0003
access:bus,108,0.0003
changing_table,108,0.0003
parking:right,108,0.0003
trade,108,0.0003
GWUmapathon,107,0.0003
works:type,107,0.0003
area:highway,106,0.0003
fuel:octane_91,106,0.0003
old_name:lat,106,0.0003
source:url,106,0.0003
Shape_len,105,0.0003
barriere,105,0.0003
is_in:Department,105,0.0003
name:ko,105,0.0003
name:th,105,0.0003
payment:notes,105,0.0003
tourist_bus,105,0.0003
well_closed,105,0.0003
subject:wikipedia,104,0.0003
Shape_area,103,0.0003
court_srf,103,0.0003
currency:EUR,103,0.0003
maxweightrating:hgv,103,0.0003
SHAPE_area,102,0.0003
building_reinforced_concrete,102,0.0003
building_roof_material:concrete,102,0.0003
charge,102,0.0003
gyt,102,0.0003
mobile,102,0.0003
registry_name,102,0.0003
tank_closed,102,0.0003
FIXME:note,101,0.0003
SHAPE_len,101,0.0003
club,101,0.0003
opening_hours:night,101,0.0003
phonebusiness,101,0.0003
service:bicycle:pump,101,0.0003
buried,100,0.0003
rooms,100,0.0003
SHAPE_STLe,99,0.0003
address:ward,99,0.0003
beauty,99,0.0003
bicycle:lanes:forward,99,0.0003
coopi_name_surveyor,99,0.0003
hgv:state_network,99,0.0003
id:coopi,99,0.0003
mountain_pass,99,0.0003
pcode:3,99,0.0003
source:hgv:state_network,99,0.0003
wdb:source,99,0.0003
barrier:obstacle_description,98,0.0003
bladder_open,98,0.0003
first_aid,98,0.0003
gns:id,98,0.0003
scvwd:COVERED,98,0.0003
SHAPE_STAr,97,0.0003
canal_banks_others,97,0.0003
mtb:type,97,0.0003
point,97,0.0003
BASENM,96,0.0002
building:floortype,96,0.0002
building:rooftype,96,0.0002
cemetery,96,0.0002
parking:left,96,0.0002
wikipedia:ht,96,0.0002
fuel:biodiesel,95,0.0002
generator:source_others,95,0.0002
informal,95,0.0002
name:is,95,0.0002
place_name,95,0.0002
bladder_closed,94,0.0002
capacity:standing,94,0.0002
locality,94,0.0002
maxwidth,94,0.0002
reservation,94,0.0002
contact,93,0.0002
crop6:name,93,0.0002
crop6:percentage,93,0.0002
idp:source_20150514=,93,0.0002
sidewalk:both:surface,93,0.0002
source_2,93,0.0002
abandoned:highway,92,0.0002
alt_name_1,92,0.0002
building_1,92,0.0002
building_flooded,92,0.0002
disused:amenity,92,0.0002
est_width,92,0.0002
idp:status_20150514=,92,0.0002
parking:lane:right,92,0.0002
pipeline,92,0.0002
proposed:railway,92,0.0002
protection_title,92,0.0002
source:oneway,92,0.0002
workers,92,0.0002
BASEDTL,91,0.0002
defibrillator:location,91,0.0002
hgv:minaxles,91,0.0002
hgv:minweight,91,0.0002
indoor:area,91,0.0002
name:sv,91,0.0002
note:hgv,91,0.0002
payment:bitcoin,91,0.0002
school:secondary,91,0.0002
stairs,91,0.0002
surveyor:phone,91,0.0002
OTI_HRI_COSMHA_project,90,0.0002
borehole_closed,90,0.0002
borehole_open,90,0.0002
comment,90,0.0002
gns:ufi,90,0.0002
name:bg,90,0.0002
occupant:6-12yr,90,0.0002
rehab_need,90,0.0002
seamark:rock:water_level,90,0.0002
workers:young,90,0.0002
advertising,89,0.0002
crop6:time,89,0.0002
genus:fr,89,0.0002
guest_house,89,0.0002
name:eu,89,0.0002
ref:enel:code,89,0.0002
cycleway:right:segregated,88,0.0002
recycling:plastic_packaging,88,0.0002
bicycle:lanes:backward,87,0.0002
compensator,87,0.0002
roof_base_mtrl,87,0.0002
state,87,0.0002
telecom:land_line,87,0.0002
name:bn,86,0.0002
operator_id,86,0.0002
tiger:zip,86,0.0002
trolley_wire:backward,86,0.0002
carriageway_ref,85,0.0002
name:lv,85,0.0002
name:ta,85,0.0002
payment:lightning,85,0.0002
building_roof_base_material,84,0.0002
destroyed:tourism,84,0.0002
note:by,84,0.0002
note:toll:hov,84,0.0002
ref:enel:serial_number,84,0.0002
reservoir_type,84,0.0002
school:fondamental_third_cycle,83,0.0002
swimming_pool,83,0.0002
farming_technology,82,0.0002
landfill_authority,82,0.0002
name:nl,82,0.0002
province:left,82,0.0002
stop,82,0.0002
toilet_num,82,0.0002
fuel:electricity,81,0.0002
moped,81,0.0002
name:am,81,0.0002
name:da,81,0.0002
workers:female,81,0.0002
workers:male,81,0.0002
idp:camp_site=spontaneous_camp,80,0.0002
name:mk,80,0.0002
production_capacity,80,0.0002
resource,80,0.0002
tiger:name_base_4,80,0.0002
addr,79,0.0002
name:etymology:wikipedia,79,0.0002
destination:ref:to,78,0.0002
oneway:foot,78,0.0002
railway:signal:direction,78,0.0002
road_marking,78,0.0002
BASEZN,77,0.0002
FULLZN,77,0.0002
abandoned:building,77,0.0002
abutters,77,0.0002
capacity_individuals_building_level_1,77,0.0002
check_date:opening_hours,77,0.0002
name:br,77,0.0002
name:hy,77,0.0002
name:ka,77,0.0002
name:mr,77,0.0002
Capacity,76,0.0002
addr:county,76,0.0002
is_in:Arrondissement,76,0.0002
key 1,76,0.0002
key 2,76,0.0002
manhole,76,0.0002
service:bicycle:repair,76,0.0002
site_ownership,76,0.0002
target,76,0.0002
tents,76,0.0002
was:name,76,0.0002
governance_type,75,0.0002
lcn,75,0.0002
name:bo,75,0.0002
quantity_fuel,75,0.0002
recycling:cardboard,75,0.0002
site_status,75,0.0002
vehicle:conditional,75,0.0002
Atribution,74,0.0002
castle_type,74,0.0002
idp:site,74,0.0002
occupant:13-19yr,74,0.0002
recycling:plastic_bottles,74,0.0002
related_law,74,0.0002
use,74,0.0002
waterpoint_type,74,0.0002
Household Info by,73,0.0002
addr:country_national_code,73,0.0002
bar,73,0.0002
fuel:e85,73,0.0002
fuel:octane_98,73,0.0002
old_ref:pre_1939,73,0.0002
service_quality,73,0.0002
sidewalk:right:surface,73,0.0002
studio,73,0.0002
Hausehold information by,72,0.0002
destination:lanes,72,0.0002
fuel:1_25,72,0.0002
fuel:biogas,72,0.0002
fuel:e10,72,0.0002
mtb:name,72,0.0002
name:tr,72,0.0002
park:type,72,0.0002
zone,72,0.0002
VCODE,71,0.0002
capacity_water_storage_g,71,0.0002
city_served,71,0.0002
name:az,71,0.0002
name:os,71,0.0002
pop_estimates_site_hou,71,0.0002
sensor,71,0.0002
GENERIC,70,0.0002
building:min_level,70,0.0002
demolished:building,70,0.0002
destination:ref:lanes,70,0.0002
hazard,70,0.0002
idp,70,0.0002
livestock:pig,70,0.0002
loc_name:source,70,0.0002
maxstay,70,0.0002
occupant:0-5yr,70,0.0002
photo_num,70,0.0002
quality_bricks_percent,70,0.0002
recycling:aluminium,70,0.0002
ref:MSPP,70,0.0002
reg_name,70,0.0002
allocation:it,69,0.0002
kitchen_eq,69,0.0002
name:hr,69,0.0002
official_name:fr,69,0.0002
payment:american_express,69,0.0002
payment:onchain,69,0.0002
preschool,69,0.0002
protection_aim,69,0.0002
railway:bidirectional,69,0.0002
ref:EUAP,69,0.0002
ref:SIC,69,0.0002
species:en,69,0.0002
Hosehold Code,68,0.0002
fuel:1_50,68,0.0002
hoops,68,0.0002
maxspeed:advisory,68,0.0002
name:km,68,0.0002
ref:msal,68,0.0002
ref:terna,68,0.0002
surveyor:GPS,68,0.0002
addr:floor,67,0.0002
capacity_water_storage_cm,67,0.0002
country_code_fips,67,0.0002
country_code_iso3166_1_alpha_2,67,0.0002
iucn_level:ref,67,0.0002
maxspeed:zone,67,0.0002
official_name:it,67,0.0002
organic,67,0.0002
ramp:bicycle,67,0.0002
sac_scale_ref,67,0.0002
seamark:light:character,67,0.0002
wikipedia:fr,67,0.0002
Id,66,0.0002
capacity_water_storage_l,66,0.0002
name:ug,66,0.0002
official_name:en,66,0.0002
Boundary,65,0.0002
NOTE,65,0.0002
alt_name:en,65,0.0002
brownfield,65,0.0002
building:height,65,0.0002
building_medium,65,0.0002
geometrie_source_type,65,0.0002
parking:orientation,65,0.0002
payment:contactless,65,0.0002
ref:ISTAT,65,0.0002
ref:catasto,65,0.0002
source type,65,0.0002
AREA_M,64,0.0002
DIST_NAME,64,0.0002
Identification Code,64,0.0002
contact:postcode,64,0.0002
paho:operational_status,64,0.0002
paho:operational_status:date,64,0.0002
paho:operational_status:source,64,0.0002
parking:lane:left,64,0.0002
psv:lanes,64,0.0002
source:project,64,0.0002
FMMP_modified,63,0.0002
added,63,0.0002
car,63,0.0002
latrine,63,0.0002
mapping_practices,63,0.0002
name:gl,63,0.0002
name:kn,63,0.0002
phone:emergency,63,0.0002
phone_1,63,0.0002
source3,63,0.0002
weather_protection,63,0.0002
workers:edu_informal,63,0.0002
classification:np,62,0.0002
contact_person_crc,62,0.0002
name:af,62,0.0002
name:vi,62,0.0002
railway:track_ref,62,0.0002
workers:illiterate,62,0.0002
FMMP_reviewed,61,0.0002
attribute_source-date,61,0.0002
building_status_medium,61,0.0002
name:azb,61,0.0002
name:grc,61,0.0002
protection_instruction,61,0.0002
source:hgv:national_network,61,0.0002
stroller,61,0.0002
tag,61,0.0002
Atribut Source date,60,0.0002
Genre,60,0.0002
beacon:type,60,0.0002
building_status_bad,60,0.0002
difficulty,60,0.0002
name:fy,60,0.0002
name:ml,60,0.0002
occupant:60+,60,0.0002
ref:sbn,60,0.0002
school_zone,60,0.0002
source:position,60,0.0002
GNS:id,59,0.0002
operator_installation,59,0.0002
type de stucture,59,0.0002
Landuse,58,0.0002
OTI_HRI_COSMHA_project:surveyor_name,58,0.0002
camp_management_agency_name,58,0.0002
cover_description,58,0.0002
idp:campsite,58,0.0002
mtb,58,0.0002
project_id,58,0.0002
roof:orientation,58,0.0002
statut operationnel,58,0.0002
Rue Reunion,57,0.0001
classrooms:afternoon,57,0.0001
disused:railway,57,0.0001
faa,57,0.0001
healthcare:cholera,57,0.0001
name:mn,57,0.0001
not:name,57,0.0001
opening_hours:evening,57,0.0001
phone_crc,57,0.0001
projet,57,0.0001
seamark:name,57,0.0001
source:health_facility:MCH,57,0.0001
access:lanes,56,0.0001
barriers:obstacle_description,56,0.0001
capital_city,56,0.0001
hcare_ctc,56,0.0001
name:pnb,56,0.0001
obstacle_type,56,0.0001
official_name:pl,56,0.0001
seamark:light:period,56,0.0001
service:vehicle:car_repair,56,0.0001
ship,56,0.0001
sloped_curb,56,0.0001
source:health_facility:access,56,0.0001
DCODE,55,0.0001
State,55,0.0001
contact:twitter,55,0.0001
description:en,55,0.0001
geological,55,0.0001
name:fi,55,0.0001
name:gu,55,0.0001
naptan:AtcoCode,55,0.0001
settlement:origin,55,0.0001
collection_times,54,0.0001
contact:city,54,0.0001
contact:whatsapp,54,0.0001
dist_code,54,0.0001
maxheight:signed,54,0.0001
medecins,54,0.0001
ref:sahana_id,54,0.0001
sale,54,0.0001
alt_name_2,53,0.0001
cycleway:both:segregated,53,0.0001
infirmieres,53,0.0001
name:sk,53,0.0001
name:sl,53,0.0001
name:tg,53,0.0001
tiger:zip_right_3,53,0.0001
tomb,53,0.0001
voltage-high,53,0.0001
Cantilever,52,0.0001
Phone,52,0.0001
acres,52,0.0001
contact person,52,0.0001
poultry,52,0.0001
ref:WDPA,52,0.0001
NAME,51,0.0001
fire_hydrant:position,51,0.0001
health_facility:MCH,51,0.0001
latrine_medium,51,0.0001
maxspeed:forward,51,0.0001
parts,51,0.0001
road,51,0.0001
alt_name:ht,50,0.0001
display,50,0.0001
loading_gauge,50,0.0001
motorhome,50,0.0001
name:no,50,0.0001
obsolete_boundary,50,0.0001
passing_places,50,0.0001
payment:lightning_contactless,50,0.0001
picture,50,0.0001
ref:nrhp,50,0.0001
school:trust:name,50,0.0001
school:trust:type,50,0.0001
service:bicycle:tools,50,0.0001
source_ref:ref,50,0.0001
BADHAE,49,0.0001
BADI,49,0.0001
BANGALI,49,0.0001
BANIYA,49,0.0001
BANTAR,49,0.0001
BARAE,49,0.0001
BHEDIYAR__,49,0.0001
BHOTE,49,0.0001
BING_BINDA,49,0.0001
BOTE,49,0.0001
BRAHMAN_H,49,0.0001
BRAHMAN_T,49,0.0001
BRAHMU_BAR,49,0.0001
BYANGSI,49,0.0001
CHAMAR_HAR,49,0.0001
CHEPANG__P,49,0.0001
CHHANTEL,49,0.0001
CHHETRI,49,0.0001
CHIDIMAR,49,0.0001
CHURAUTE,49,0.0001
DAMAI_DHOL,49,0.0001
DANUWAR,49,0.0001
DARAI,49,0.0001
DHANUK,49,0.0001
DHIMAL,49,0.0001
DHOBI,49,0.0001
DHUNIA,49,0.0001
DOM,49,0.0001
DOMETH,49,0.0001
DURA,49,0.0001
DUSADH_PAS,49,0.0001
D_CODE,49,0.0001
ECO_REG,49,0.0001
ECO_REG1,49,0.0001
GAINE,49,0.0001
GANGAI,49,0.0001
GHARTI_BHU,49,0.0001
GURUNG,49,0.0001
HAJAM_THAK,49,0.0001
HALKHOR,49,0.0001
HALUWAI,49,0.0001
HAYU,49,0.0001
JAINE,49,0.0001
JHAGAR_DHA,49,0.0001
JIREL,49,0.0001
KAHAR,49,0.0001
KALWAR,49,0.0001
KAMAR,49,0.0001
KAMI,49,0.0001
KANU,49,0.0001
KAYASTHA,49,0.0001
KEWAT,49,0.0001
KHATWE,49,0.0001
KISAN,49,0.0001
KOCHE,49,0.0001
KOIRI,49,0.0001
KUMAL,49,0.0001
KUMHAR,49,0.0001
KURMI,49,0.0001
KUSUNDA,49,0.0001
KUSWADIYA_,49,0.0001
LEPCHA,49,0.0001
LIMBU,49,0.0001
LODHA,49,0.0001
LOHAR,49,0.0001
MAGAR,49,0.0001
MAJHI,49,0.0001
MAJLANG,49,0.0001
MAJ_ETHIN,49,0.0001
MAJ_VDC_NO,49,0.0001
MALI,49,0.0001
MALLAH,49,0.0001
MARWADI,49,0.0001
MECHE,49,0.0001
MUNDA,49,0.0001
MUSAHAR,49,0.0001
MUSLIM,49,0.0001
NEWAR,49,0.0001
NEWFIELD1,49,0.0001
NMAJ_ETH_,49,0.0001
NUNIYA,49,0.0001
NURANG,49,0.0001
OTHER,49,0.0001
OTHERS,49,0.0001
PAHARI,49,0.0001
PERCENT,49,0.0001
PMAJ_ETH_,49,0.0001
PUNJA_SIKH,49,0.0001
RAI,49,0.0001
RAJBANSI,49,0.0001
RAJBHAR,49,0.0001
RAJI,49,0.0001
RAJPUT,49,0.0001
RAUTE,49,0.0001
REGION13,49,0.0001
REGI_NAME,49,0.0001
REPETE_VDC,49,0.0001
SANTHAL_SA,49,0.0001
SANYASI,49,0.0001
SARKI,49,0.0001
SHERPA,49,0.0001
SONAR,49,0.0001
SUDHI,49,0.0001
SUNUWAR,49,0.0001
TAJPURIYA,49,0.0001
TAMANG,49,0.0001
TATMA,49,0.0001
TELI,49,0.0001
THAKALI,49,0.0001
THAKURI,49,0.0001
THAMI,49,0.0001
THARU,49,0.0001
TOTAL,49,0.0001
UNID_CASTE,49,0.0001
UNID_DALIT,49,0.0001
WALUNG,49,0.0001
YADAV,49,0.0001
YAKKHA,49,0.0001
YEHLMO,49,0.0001
ZCODE,49,0.0001
ZONE_NAME,49,0.0001
admin_2_nm,49,0.0001
admin_3_nm,49,0.0001
buinding,49,0.0001
dist,49,0.0001
fitness_station,49,0.0001
grades,49,0.0001
is_in:sea,49,0.0001
mapping_error,49,0.0001
museum,49,0.0001
name:kk,49,0.0001
name:pa,49,0.0001
province:right,49,0.0001
wpt_symbol,49,0.0001
ADIBA_JANA,48,0.0001
Commune,48,0.0001
Engin_Noneng,48,0.0001
ExpansionJoint,48,0.0001
Hours,48,0.0001
House_type,48,0.0001
Physical_condition,48,0.0001
Pounding_Poss,48,0.0001
ShortColumn,48,0.0001
VDC_NAME,48,0.0001
Visible_GroundSettlemt,48,0.0001
architect,48,0.0001
canal_banks_desc_right,48,0.0001
city:left,48,0.0001
contact_ person,48,0.0001
full_name,48,0.0001
health_facility:access,48,0.0001
house,48,0.0001
latrine_bad,48,0.0001
official_name:br,48,0.0001
operator type,48,0.0001
phone:business,48,0.0001
ref:edubase:group,48,0.0001
region:left,48,0.0001
seamark:light:height,48,0.0001
Household Information By,47,0.0001
Ward_No,47,0.0001
embassy,47,0.0001
location:transition,47,0.0001
naptan:Bearing,47,0.0001
naptan:CommonName,47,0.0001
naptan:Indicator,47,0.0001
naptan:PlusbusZoneRef,47,0.0001
naptan:ShortCommonName,47,0.0001
naptan:Street,47,0.0001
official_name:sv,47,0.0001
power_supply,47,0.0001
private,47,0.0001
shower_num,47,0.0001
alt_ref,46,0.0001
attribut_source_date,46,0.0001
building_roof_material:sheet_metal,46,0.0001
contact:linkedin,46,0.0001
damage_event,46,0.0001
diameter,46,0.0001
floating,46,0.0001
name:nn,46,0.0001
naptan:Landmark,46,0.0001
naptan:verified,46,0.0001
payment:discover_card,46,0.0001
source:access,46,0.0001
two_sided,46,0.0001
wpt_description,46,0.0001
caravans,45,0.0001
irrigation,45,0.0001
name:si,45,0.0001
naptan:NaptanCode,45,0.0001
roof:direction,45,0.0001
school,45,0.0001
service:bicycle:retail,45,0.0001
subject,45,0.0001
telecom,45,0.0001
Description,44,0.0001
Geometrie_source_date,44,0.0001
cycleway:left:lane,44,0.0001
fuel:HGV_diesel,44,0.0001
name:kr,44,0.0001
name:ps,44,0.0001
name:zh-yue,44,0.0001
roof_status,44,0.0001
seamark:light:1:colour,44,0.0001
toilets:position,44,0.0001
toilets_durability,44,0.0001
Identification Code By,43,0.0001
addr:hamlet,43,0.0001
addr:subdistrict,43,0.0001
closest_town,43,0.0001
destroyed:building,43,0.0001
editor,43,0.0001
ferry,43,0.0001
fountain,43,0.0001
highway_authority_ref,43,0.0001
hydropower_project:name,43,0.0001
local_name,43,0.0001
marker,43,0.0001
name:pap,43,0.0001
name:qu,43,0.0001
name:sah,43,0.0001
passenger_information_display,43,0.0001
source:1,43,0.0001
ACRES,42,0.0001
Fcode,42,0.0001
HR:FA,42,0.0001
alimentation electrique,42,0.0001
building:floor,42,0.0001
building_bad,42,0.0001
building_status_desc,42,0.0001
capacity_area_building_level_1,42,0.0001
monorail,42,0.0001
name:et,42,0.0001
publisher,42,0.0001
railway:name,42,0.0001
railway:switch:electric,42,0.0001
ref:mspp,42,0.0001
reviewer,42,0.0001
tiger:name_type_4,42,0.0001
toilets_access,42,0.0001
works:description,42,0.0001
xml,42,0.0001
Address Line 1,41,0.0001
City,41,0.0001
Country Code,41,0.0001
Main Phone,41,0.0001
Postal Code,41,0.0001
Rooftoptank,41,0.0001
Store Code,41,0.0001
check_date:shelter,41,0.0001
contact:person,41,0.0001
damaged,41,0.0001
emergency_ward_entrance,41,0.0001
name:li,41,0.0001
name:signed,41,0.0001
operator:project,41,0.0001
rental,41,0.0001
species:fr,41,0.0001
HR:DM,40,0.0001
Household information BY,40,0.0001
School,40,0.0001
Well,40,0.0001
add:street,40,0.0001
assembly_point:earthquake,40,0.0001
canal_banks_desc_left,40,0.0001
diet:gluten_free,40,0.0001
hires:checkdate,40,0.0001
hires:imagery,40,0.0001
lanes:psv,40,0.0001
source_name,40,0.0001
sourec,40,0.0001
type d'alimentation,40,0.0001
whs_unit,40,0.0001
4wd_only,39,0.0001
AttachmentsExpected,39,0.0001
AttachmentsPresent,39,0.0001
DeviceID,39,0.0001
KEY,39,0.0001
SubmissionDate,39,0.0001
SubmitterID,39,0.0001
SubmitterName,39,0.0001
buil,39,0.0001
building-feature_type,39,0.0001
building-feature_type_name,39,0.0001
check_date:cycleway,39,0.0001
cycleway:right:oneway,39,0.0001
end,39,0.0001
feature_choice,39,0.0001
fid,39,0.0001
geopoint-Accuracy,39,0.0001
geopoint-Altitude,39,0.0001
geopoint-Latitude,39,0.0001
geopoint-Longitude,39,0.0001
hcare_ors,39,0.0001
meta-instanceID,39,0.0001
name:an,39,0.0001
name:bat-smg,39,0.0001
name:bs,39,0.0001
name:ckb,39,0.0001
name:ga,39,0.0001
name:hsb,39,0.0001
name:io,39,0.0001
name:ku,39,0.0001
name:lb,39,0.0001
name:lij,39,0.0001
name:nov,39,0.0001
name:sh,39,0.0001
name:vo,39,0.0001
odbl:comment,39,0.0001
pop_estimates_site_ind,39,0.0001
ref:ABI,39,0.0001
ref:CAB,39,0.0001
seamark:landmark:category,39,0.0001
start,39,0.0001
today,39,0.0001
abandoned:power,38,0.0001
adoption_barrier_tech,38,0.0001
aerodrome:type,38,0.0001
flag:type,38,0.0001
lannduse,38,0.0001
light:count,38,0.0001
maritime,38,0.0001
maxweightrating,38,0.0001
num_building,38,0.0001
sanitary_dump_station,38,0.0001
school:boarding,38,0.0001
seamark:light:ref,38,0.0001
source_1,38,0.0001
automated,37,0.0001
crossing:light,37,0.0001
dual_carriageway,37,0.0001
hazard_prone,37,0.0001
is_capital,37,0.0001
mooring,37,0.0001
name:my,37,0.0001
name:te,37,0.0001
resurfaced:date,37,0.0001
road_quality,37,0.0001
source_ref:CDC/USAID PMTCT,37,0.0001
street_name,37,0.0001
HERD Urban Health Survey,36,0.0001
Layer,36,0.0001
abandoned:amenity,36,0.0001
adress,36,0.0001
attribute_ source_ date,36,0.0001
camp_registered_agency_name,36,0.0001
disable,36,0.0001
disused:highway,36,0.0001
flood_prone:frequency,36,0.0001
flood_prone:height,36,0.0001
flood_prone:impact,36,0.0001
flood_prone:informant,36,0.0001
flood_prone:rise,36,0.0001
gali,36,0.0001
landmark,36,0.0001
leisure_1,36,0.0001
name:gr,36,0.0001
ref:old,36,0.0001
section communale,36,0.0001
sidewalk:left:surface,36,0.0001
waste_type:common_urban_waste,36,0.0001
workers:edu_SLC,36,0.0001
Capacite,35,0.0001
Payment Types,35,0.0001
addr:district:en,35,0.0001
addr:street:en,35,0.0001
addr:subdistrict:en,35,0.0001
capacity:women,35,0.0001
check_date:currency:XBT,35,0.0001
earthquake,35,0.0001
intermittend,35,0.0001
latrine_good,35,0.0001
light:direction,35,0.0001
map_size,35,0.0001
maxpseed:hgv,35,0.0001
name:tl,35,0.0001
official_name:be,35,0.0001
old_ref:legislative,35,0.0001
payment:cheque,35,0.0001
seamark:light:reference,35,0.0001
seamark:mooring:category,35,0.0001
statut operationel,35,0.0001
toilets_technology,35,0.0001
Tiger:MTFCC,34,0.0001
addr:province:en,34,0.0001
cabins,34,0.0001
classe,34,0.0001
golf_cart,34,0.0001
landfill_type:ground,34,0.0001
payment:app,34,0.0001
salt,34,0.0001
seamark:light:colour,34,0.0001
service:vehicle:tyres,34,0.0001
service_times:covid19,34,0.0001
surface_material,34,0.0001
Digital,33,0.0001
Organization_Name,33,0.0001
_Category_,33,0.0001
airmark,33,0.0001
atribut souce name,33,0.0001
bus:lanes,33,0.0001
capacity_individuals_building_level_2,33,0.0001
destination:int_ref,33,0.0001
first_year_use,33,0.0001
franchise:wikidata,33,0.0001
hcare_ctu,33,0.0001
levels,33,0.0001
name:be-tarask,33,0.0001
name:ce,33,0.0001
official_name:lt,33,0.0001
